Time,Weight
13_29_48,0.28
13_29_49,0.45
13_29_50,0.58
13_29_51,0.59
13_29_52,0.6
13_29_53,0.57
13_29_54,0.46
13_29_55,0.55
13_29_56,0.63
13_29_57,0.54
13_29_58,0.56
13_29_59,0.52
13_30_00,0.51
13_30_01,0.55
13_30_02,0.61
13_30_03,0.58
13_30_04,0.55
13_30_05,0.58
13_30_06,0.53
13_30_07,0.56
13_30_08,0.49
13_30_09,0.57
13_30_10,0.51
13_30_11,0.5
13_30_12,0.54
13_30_13,0.59
13_30_14,0.59
13_30_15,0.56
13_30_16,0.56
13_30_17,0.59
13_30_18,0.6
13_30_19,0.57
13_30_20,0.55
13_30_21,0.61
13_30_22,0.5
13_30_23,0.58
13_30_24,0.49
13_30_25,0.6
13_30_26,0.54
13_30_27,0.58
13_30_28,0.53
13_30_29,0.57
13_30_30,0.57
13_30_31,0.47
13_30_32,0.68
13_30_34,0.55
13_30_35,0.58
13_30_36,0.54
13_30_37,0.6
13_30_38,0.58
13_30_39,0.53
13_30_40,0.57
13_30_41,0.54
13_30_42,0.55
13_30_43,0.59
13_30_44,0.53
13_30_45,0.58
13_30_46,0.53
13_30_47,0.54
13_30_48,0.52
13_30_49,0.57
13_30_50,0.55
13_30_51,0.61
13_30_52,0.5
13_30_53,0.47
13_30_54,0.56
13_30_55,0.52
13_30_56,0.53
13_30_57,0.55
13_30_58,0.59
13_30_59,0.48
13_31_00,0.55
13_31_01,0.49
13_31_02,0.52
13_31_03,0.56
13_31_04,0.53
13_31_05,0.55
13_31_06,0.51
13_31_07,0.52
13_31_08,0.51
13_31_09,0.52
13_31_10,0.59
13_31_11,0.49
13_31_13,0.55
13_31_14,0.57
13_31_15,0.48
13_31_16,0.54
13_31_17,0.56
13_31_18,0.55
13_31_19,0.51
13_31_20,0.55
13_31_21,0.57
13_31_22,0.59
13_31_23,0.6
13_31_24,0.6
13_31_25,0.54
13_31_26,0.51
13_31_27,0.58
13_31_28,0.51
13_31_29,0.53
13_31_30,0.54
13_31_31,0.61
13_31_32,0.6
13_31_33,0.51
13_31_34,0.54
13_31_35,0.55
13_31_36,0.5
13_31_37,0.55
13_31_38,0.55
13_31_39,0.52
13_31_40,0.57
13_31_41,0.5
13_31_42,0.53
13_31_43,0.48
13_31_44,0.53
13_31_45,0.51
13_31_46,0.66
13_31_47,0.58
13_31_48,0.56
13_31_49,0.55
13_31_50,0.58
13_31_51,0.54
13_31_53,0.54
13_31_54,0.55
13_31_55,0.54
13_31_56,0.52
13_31_57,0.63
13_31_58,0.54
13_31_59,0.55
13_32_00,0.5
13_32_01,0.61
13_32_02,0.56
13_32_03,0.56
13_32_04,0.63
13_32_05,0.54
13_32_06,0.54
13_32_07,0.49
13_32_08,0.55
13_32_09,0.55
13_32_10,0.52
13_32_11,0.52
13_32_12,0.52
13_32_13,0.59
13_32_14,0.58
13_32_15,0.57
13_32_16,0.53
13_32_17,0.57
13_32_18,0.59
13_32_19,0.55
13_32_20,0.61
13_32_21,0.54
13_32_22,0.56
13_32_23,0.53
13_32_24,0.57
13_32_25,0.5
13_32_26,0.5
13_32_27,0.57
13_32_28,0.63
13_32_29,0.59
13_32_30,0.54
13_32_31,0.59
13_32_33,0.5
13_32_34,0.55
13_32_35,0.54
13_32_36,0.56
13_32_37,0.51
13_32_38,0.55
13_32_39,0.64
13_32_40,0.55
13_32_41,0.58
13_32_42,0.55
13_32_43,0.53
13_32_44,0.55
13_32_45,0.54
13_32_46,0.6
13_32_47,0.55
13_32_48,0.58
13_32_49,0.53
13_32_50,0.53
13_32_51,0.54
13_32_52,0.58
13_32_53,0.56
13_32_54,0.56
13_32_55,0.55
13_32_56,0.56
13_32_57,0.57
13_32_58,0.43
13_32_59,0.61
13_33_00,0.58
13_33_01,0.63
13_33_02,0.52
13_33_03,0.64
13_33_04,0.5
13_33_05,0.56
13_33_06,0.58
13_33_07,0.6
13_33_08,0.62
13_33_09,0.49
13_33_10,0.64
13_33_12,0.56
13_33_13,0.59
13_33_14,0.54
13_33_15,0.55
13_33_16,0.54
13_33_17,0.56
13_33_18,0.52
13_33_19,0.51
13_33_20,0.54
13_33_21,0.51
13_33_22,0.58
13_33_23,0.49
13_33_24,0.57
13_33_25,0.49
13_33_26,0.54
13_33_27,0.55
13_33_28,0.52
13_33_29,0.56
13_33_30,0.56
13_33_31,0.53
13_33_32,0.53
13_33_33,0.56
13_33_34,0.62
13_33_35,0.48
13_33_36,0.6
13_33_37,0.5
13_33_38,0.57
13_33_39,0.59
13_33_40,0.5
13_33_41,0.56
13_33_42,0.5
13_33_43,0.58
13_33_44,0.54
13_33_45,0.57
13_33_46,0.56
13_33_47,0.58
13_33_48,0.56
13_33_49,0.55
13_33_50,0.61
13_33_52,0.57
13_33_53,0.6
13_33_54,0.55
13_33_55,0.57
13_33_56,0.56
13_33_57,0.55
13_33_58,0.58
13_33_59,0.49
13_34_00,0.6
13_34_01,0.51
13_34_02,0.57
13_34_03,0.53
13_34_04,0.61
13_34_05,0.56
13_34_06,0.57
13_34_07,0.6
13_34_08,0.55
13_34_09,0.59
13_34_10,0.55
13_34_11,0.63
13_34_12,0.5
13_34_13,0.54
13_34_14,0.53
13_34_15,0.53
13_34_16,0.53
13_34_17,0.58
13_34_18,0.53
13_34_19,0.56
13_34_20,0.58
13_34_21,0.55
13_34_22,0.55
13_34_23,0.51
13_34_24,0.58
13_34_25,0.57
13_34_26,0.52
13_34_27,0.59
13_34_28,0.59
13_34_29,0.59
13_34_30,0.48
13_34_32,0.56
13_34_33,0.52
13_34_34,0.52
13_34_35,0.54
13_34_36,0.56
13_34_37,0.55
13_34_38,0.53
13_34_39,0.52
13_34_40,0.53
13_34_41,0.6
13_34_42,0.48
13_34_43,0.53
13_34_44,0.58
13_34_45,0.49
13_34_46,0.59
13_34_47,0.56
13_34_48,0.58
13_34_49,0.49
13_34_50,0.54
13_34_51,0.49
13_34_52,0.58
13_34_53,0.55
13_34_54,0.56
13_34_55,0.59
13_34_56,0.51
13_34_57,0.61
13_34_58,0.54
13_34_59,0.55
13_35_00,0.54
13_35_01,0.55
13_35_02,0.54
13_35_03,0.53
13_35_04,0.57
13_35_05,0.48
13_35_06,0.6
13_35_07,0.54
13_35_08,0.48
13_35_09,0.49
13_35_11,0.57
13_35_12,0.57
13_35_13,0.58
13_35_14,0.62
13_35_15,0.53
13_35_16,0.56
13_35_17,0.46
13_35_18,0.6
13_35_19,0.55
13_35_20,0.51
13_35_21,0.56
13_35_22,0.56
13_35_23,0.6
13_35_24,0.53
13_35_25,0.57
13_35_26,0.53
13_35_27,0.57
13_35_28,0.54
13_35_29,0.59
13_35_30,0.61
13_35_31,0.52
13_35_32,0.58
13_35_33,0.49
13_35_34,0.53
13_35_35,0.53
13_35_36,0.59
13_35_37,0.55
13_35_38,0.6
13_35_39,0.51
13_35_40,0.54
13_35_41,0.54
13_35_42,0.55
13_35_43,0.58
