Time,Weight
2024-02-12 17:16:22.611174,0.68
2024-02-12 17:16:23.613390,0.66
2024-02-12 17:16:24.615521,0.64
2024-02-12 17:16:25.617662,0.69
2024-02-12 17:16:26.619785,0.71
2024-02-12 17:16:27.624931,0.24
2024-02-12 17:16:28.627054,0.59
2024-02-12 17:16:29.631167,0.67
2024-02-12 17:16:30.635261,0.64
2024-02-12 17:16:31.639390,0.67
2024-02-12 17:16:32.643066,0.62
2024-02-12 17:16:33.646783,0.72
2024-02-12 17:16:34.650890,0.61
2024-02-12 17:16:35.655026,0.61
2024-02-12 17:16:36.659148,0.59
2024-02-12 17:16:37.663260,0.58
2024-02-12 17:16:38.667417,0.74
2024-02-12 17:16:39.671531,0.74
2024-02-12 17:16:40.675644,0.71
2024-02-12 17:16:41.679709,0.6
2024-02-12 17:16:42.683788,0.62
2024-02-12 17:16:43.687882,0.64
2024-02-12 17:16:44.691930,0.68
2024-02-12 17:16:45.695980,0.64
2024-02-12 17:16:46.700036,0.56
2024-02-12 17:16:47.703273,0.61
2024-02-12 17:16:48.707401,0.61
2024-02-12 17:16:49.711536,0.65
2024-02-12 17:16:50.715637,0.67
2024-02-12 17:16:51.719772,0.64
2024-02-12 17:16:52.723802,0.64
2024-02-12 17:16:53.727658,0.67
2024-02-12 17:16:54.731721,0.67
2024-02-12 17:16:55.735771,0.59
2024-02-12 17:16:56.739805,0.69
2024-02-12 17:16:57.743683,0.61
2024-02-12 17:16:58.747685,0.68
2024-02-12 17:16:59.751697,0.61
2024-02-12 17:17:00.755821,0.64
2024-02-12 17:17:01.759768,0.57
2024-02-12 17:17:02.763915,0.61
2024-02-12 17:17:03.768005,0.66
2024-02-12 17:17:04.772011,0.63
2024-02-12 17:17:05.776046,0.67
2024-02-12 17:17:06.780037,0.57
2024-02-12 17:17:07.784048,0.61
2024-02-12 17:17:08.788021,0.6
2024-02-12 17:17:09.791983,0.62
2024-02-12 17:17:10.795950,0.63
2024-02-12 17:17:11.799952,0.64
2024-02-12 17:17:12.803949,0.6
2024-02-12 17:17:13.807955,0.61
2024-02-12 17:17:14.811942,0.57
2024-02-12 17:17:15.815935,0.6
2024-02-12 17:17:16.819932,0.56
2024-02-12 17:17:17.823895,0.6
2024-02-12 17:17:18.827648,0.62
2024-02-12 17:17:19.831696,0.61
2024-02-12 17:17:20.835706,0.6
2024-02-12 17:17:21.839690,0.58
2024-02-12 17:17:22.843736,0.57
2024-02-12 17:17:22.873224,0.58
2024-02-12 17:17:23.875378,0.57
2024-02-12 17:17:24.877565,0.66
2024-02-12 17:17:25.879711,0.62
2024-02-12 17:17:26.881810,0.62
2024-02-12 17:17:27.883895,0.66
2024-02-12 17:17:28.887857,0.53
2024-02-12 17:17:29.891831,0.66
2024-02-12 17:17:30.895846,0.64
2024-02-12 17:17:31.899818,0.57
2024-02-12 17:17:32.903812,0.59
2024-02-12 17:17:33.907799,0.62
2024-02-12 17:17:34.911787,0.64
2024-02-12 17:17:35.915806,0.61
2024-02-12 17:17:36.919775,0.63
2024-02-12 17:17:37.923766,0.65
2024-02-12 17:17:38.927800,0.59
2024-02-12 17:17:39.931777,0.61
2024-02-12 17:17:40.935771,0.66
2024-02-12 17:17:41.939808,0.62
2024-02-12 17:17:42.943804,0.62
2024-02-12 17:17:43.947775,0.57
2024-02-12 17:17:44.951781,0.7
2024-02-12 17:17:45.955775,0.6
2024-02-12 17:17:46.959789,0.64
2024-02-12 17:17:47.963779,0.64
2024-02-12 17:17:48.967792,0.59
2024-02-12 17:17:49.971843,0.58
2024-02-12 17:17:50.975829,0.64
2024-02-12 17:17:51.979818,0.63
2024-02-12 17:17:52.983805,0.68
2024-02-12 17:17:53.987827,0.63
2024-02-12 17:17:54.991811,0.62
2024-02-12 17:17:55.995780,0.63
2024-02-12 17:17:56.999769,0.67
2024-02-12 17:17:58.003788,0.59
2024-02-12 17:17:59.007825,0.64
2024-02-12 17:18:00.011808,0.6
2024-02-12 17:18:01.015488,0.58
2024-02-12 17:18:02.019540,0.57
2024-02-12 17:18:03.023608,0.64
2024-02-12 17:18:04.027626,0.6
2024-02-12 17:18:05.031617,0.63
2024-02-12 17:18:06.035620,0.59
2024-02-12 17:18:07.039658,0.58
2024-02-12 17:18:08.043654,0.65
2024-02-12 17:18:09.047656,0.7
2024-02-12 17:18:10.051671,0.63
2024-02-12 17:18:11.055683,0.57
2024-02-12 17:18:12.059698,0.65
2024-02-12 17:18:13.063687,0.56
2024-02-12 17:18:14.067683,0.56
2024-02-12 17:18:15.071681,0.66
2024-02-12 17:18:16.075761,0.57
2024-02-12 17:18:17.079786,0.71
2024-02-12 17:18:18.083833,0.6
2024-02-12 17:18:19.087874,0.63
2024-02-12 17:18:20.091894,0.62
2024-02-12 17:18:21.095915,0.61
2024-02-12 17:18:22.099927,0.61
2024-02-12 17:18:23.103963,0.63
2024-02-12 17:18:24.018991,0.62
2024-02-12 17:18:25.046703,0.59
2024-02-12 17:18:26.070745,0.59
2024-02-12 17:18:27.098641,0.64
2024-02-12 17:18:28.122708,0.64
2024-02-12 17:18:29.150825,0.68
2024-02-12 17:18:30.175092,0.59
2024-02-12 17:18:31.202745,0.64
2024-02-12 17:18:32.226819,0.58
2024-02-12 17:18:33.254718,0.65
2024-02-12 17:18:34.278798,0.6
2024-02-12 17:18:35.303027,0.63
2024-02-12 17:18:36.330789,0.65
2024-02-12 17:18:37.354954,0.63
2024-02-12 17:18:38.382869,0.6
2024-02-12 17:18:39.406938,0.63
2024-02-12 17:18:40.434613,0.61
2024-02-12 17:18:41.458915,0.57
2024-02-12 17:18:42.486643,0.64
2024-02-12 17:18:43.510807,0.59
2024-02-12 17:18:44.538523,0.6
2024-02-12 17:18:45.562743,0.6
2024-02-12 17:18:46.586814,0.58
2024-02-12 17:18:47.614733,0.6
2024-02-12 17:18:48.638827,0.64
2024-02-12 17:18:49.666448,0.63
2024-02-12 17:18:50.690781,0.64
2024-02-12 17:18:51.718440,0.65
